,Blood,Brain,Heart,Liver,Muscle,Nerve,Skin,Testis
Tissue Expression,0.09731097344814504,0.28743398831626576,0.007513093273964274,0.20941543837052307,0.00678850603459709,0.5366681962838136,0.25888063188330906,0.008928505587093028
Tissue Expression (development),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tissue Preferential Expression,0.12376944536549446,0.013064979358803724,0.0017737788631137458,0.10663148922924132,0.007337763118134366,0.0,0.0,0.06755225877909848
Tissue Expression Variability,0.00489077266348653,0.0,0.0,0.0035886856230859946,0.0,0.0,0.0,0.00031582003799201087
Tissue Network Embedding,0.08744748772713146,0.5815165767289678,0.3247446956435682,0.4919379975179734,0.2621951265336904,0.3419061910938289,0.1330868602724417,0.349437866665905
Tissue PPIs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tissue Differential PPIs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tissue Differential Process Activity,0.6729933835717578,0.028839607184253383,0.44340895910610656,0.05423285817039094,0.44766946240742667,0.022409648846360458,0.5918001869571834,0.28419433701376784
Tissue eQTL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tissue Paralogs Relationships,0.0,0.0,0.0004080610640366033,0.0,0.0,0.0,0.000822266130898117,0.0
